frame,mean_iou,iou_v0,iou_v1,iou_v2,iou_v3,iou_v4,iou_v5
4250,0.6089,0.6327,0.5797,0.5744,0.5197,0.7943,0.5528
4255,0.6497,0.6842,0.5974,0.6109,0.5963,0.8286,0.581
4260,0.6752,0.6906,0.5708,0.6594,0.6718,0.8371,0.6214
4265,0.669,0.6576,0.6001,0.6232,0.7036,0.7933,0.6364
4270,0.6823,0.6767,0.6277,0.6236,0.727,0.779,0.6598
4275,0.7004,0.6905,0.6459,0.644,0.7514,0.7917,0.679
4280,0.6945,0.686,0.5942,0.6478,0.7525,0.8005,0.6859
4285,0.6916,0.6856,0.579,0.6487,0.7571,0.7931,0.6862
4290,0.6906,0.6819,0.5832,0.6506,0.7529,0.7931,0.6822
4295,0.6905,0.6764,0.5839,0.6484,0.7581,0.7948,0.6814
4300,0.6922,0.6838,0.5857,0.6505,0.7533,0.802,0.6779
4305,0.6949,0.6857,0.5954,0.6514,0.7562,0.8,0.6804
4310,0.6948,0.6851,0.5959,0.6516,0.7515,0.8047,0.6801
4315,0.6964,0.6838,0.6036,0.6518,0.7548,0.8047,0.6799
4320,0.6929,0.6881,0.5852,0.6516,0.7529,0.799,0.6804
4325,0.6946,0.6818,0.595,0.6513,0.7539,0.8045,0.6811
4330,0.6947,0.6839,0.5957,0.6527,0.7557,0.7987,0.6815
4335,0.6938,0.6856,0.5964,0.6514,0.7505,0.8007,0.6783
4340,0.6952,0.6848,0.5928,0.6534,0.7555,0.8034,0.6811
4345,0.6948,0.6847,0.5968,0.651,0.7522,0.8036,0.6807
4350,0.6947,0.6848,0.5937,0.648,0.7534,0.8024,0.6859
4355,0.6943,0.6847,0.5948,0.6478,0.7514,0.8022,0.685
4360,0.6946,0.688,0.5941,0.6474,0.7555,0.7978,0.685
4365,0.6947,0.6867,0.5948,0.6469,0.7493,0.8049,0.6857
4370,0.6931,0.6887,0.5917,0.6481,0.7503,0.7981,0.6819
4375,0.6917,0.6873,0.5898,0.6459,0.7527,0.793,0.6812
4380,0.692,0.685,0.5843,0.6504,0.7478,0.8016,0.683
4385,0.6936,0.6874,0.5952,0.6479,0.7521,0.7974,0.6818
4390,0.6912,0.6837,0.5857,0.6488,0.7517,0.7987,0.6787
4395,0.692,0.6884,0.5915,0.6497,0.7489,0.7945,0.6792
4400,0.6913,0.6865,0.5851,0.6512,0.7467,0.7991,0.679
4405,0.6951,0.6935,0.5961,0.6548,0.7432,0.7989,0.6842
4410,0.6997,0.6953,0.6099,0.6542,0.7532,0.802,0.6837
4415,0.6992,0.6979,0.5972,0.6566,0.7547,0.8005,0.6883
4420,0.6991,0.6951,0.5926,0.6564,0.7606,0.803,0.6869
4425,0.6727,0.6574,0.5853,0.6293,0.7331,0.7886,0.6422
4430,0.6606,0.6452,0.5821,0.6228,0.715,0.7724,0.626
4435,0.6565,0.641,0.5967,0.5973,0.7114,0.7726,0.6203
4440,0.6599,0.6398,0.5938,0.6069,0.7031,0.8055,0.6101
4445,0.6612,0.6771,0.6501,0.5736,0.6559,0.8086,0.6018
4450,0.6408,0.6687,0.6358,0.5369,0.6257,0.79,0.5876
4455,0.6372,0.6761,0.6562,0.5321,0.6348,0.7504,0.5736
4460,0.6348,0.6466,0.5992,0.5504,0.6644,0.7771,0.571
4465,0.6379,0.6569,0.6128,0.5483,0.6649,0.7788,0.5658
4470,0.6295,0.655,0.6426,0.5384,0.652,0.755,0.5342
4475,0.6246,0.676,0.6404,0.5296,0.62,0.7519,0.5294
4480,0.6278,0.6948,0.6478,0.5224,0.6116,0.756,0.5342
4485,0.6068,0.6678,0.627,0.4839,0.6051,0.7299,0.5271
4490,0.6043,0.6674,0.6288,0.4708,0.6059,0.7339,0.5192
4495,0.6092,0.6749,0.6322,0.4768,0.6083,0.7426,0.5204
4500,0.6209,0.6897,0.6569,0.5123,0.593,0.7484,0.5252
4505,0.6216,0.6951,0.6586,0.5093,0.5995,0.7432,0.524
4510,0.6249,0.6955,0.6489,0.5138,0.598,0.7666,0.5265
4515,0.6254,0.6993,0.6725,0.5169,0.5915,0.7432,0.5291
4520,0.6296,0.7081,0.6837,0.5186,0.5847,0.7469,0.5352
4525,0.6316,0.7075,0.6841,0.5161,0.5889,0.7557,0.5371
4530,0.63,0.7025,0.6865,0.5164,0.5824,0.7576,0.5349
4535,0.627,0.6974,0.6818,0.5143,0.5767,0.7575,0.534
4540,0.6249,0.6933,0.6801,0.5133,0.5786,0.753,0.5309
4545,0.6268,0.6936,0.6803,0.5125,0.5809,0.7595,0.5341
4550,0.6274,0.6933,0.6782,0.5126,0.5862,0.7598,0.5341
4555,0.6274,0.6939,0.6766,0.5123,0.5876,0.7622,0.532
4560,0.6275,0.6934,0.6814,0.5132,0.5845,0.7554,0.5372
4565,0.6263,0.6923,0.6758,0.5121,0.5857,0.7562,0.5359
4570,0.6264,0.6909,0.6734,0.5122,0.5866,0.759,0.5363
4575,0.6263,0.6904,0.6718,0.5118,0.5855,0.7636,0.5348
4580,0.6246,0.6867,0.6713,0.5117,0.5857,0.7583,0.5338
4585,0.6233,0.688,0.6669,0.5103,0.5863,0.7581,0.5301
4590,0.6258,0.6873,0.67,0.509,0.5908,0.7674,0.5303
4595,0.6234,0.687,0.6652,0.5104,0.5826,0.7608,0.5347
4600,0.6229,0.6825,0.6614,0.5096,0.5898,0.7593,0.5351
4605,0.6249,0.6899,0.6655,0.5084,0.5918,0.7607,0.5334
4610,0.6267,0.6924,0.6692,0.511,0.5893,0.7606,0.5376
4615,0.6294,0.6952,0.6707,0.5115,0.5964,0.7621,0.5403
4620,0.6303,0.697,0.6715,0.5143,0.5964,0.7609,0.5418
4625,0.6326,0.6982,0.6717,0.5126,0.6024,0.7681,0.5429
4630,0.6314,0.6978,0.6696,0.5126,0.5992,0.7687,0.5409
4635,0.631,0.6964,0.6697,0.512,0.599,0.7714,0.5376
4640,0.6309,0.6961,0.6718,0.5109,0.5978,0.7709,0.5378
4645,0.6312,0.6983,0.6724,0.5132,0.5936,0.7706,0.5393
4650,0.6322,0.6985,0.6721,0.5141,0.5985,0.7717,0.5386
4655,0.6319,0.7015,0.67,0.5153,0.5986,0.7674,0.5387
4660,0.633,0.7024,0.6705,0.5186,0.5984,0.7706,0.5377
4665,0.634,0.7019,0.6711,0.5175,0.6053,0.7695,0.5385
4670,0.632,0.7004,0.6689,0.5146,0.6053,0.7683,0.5346
4675,0.6319,0.7036,0.6697,0.5147,0.6064,0.7628,0.5343
4680,0.6361,0.7101,0.6736,0.5142,0.6094,0.7737,0.5354
4685,0.6358,0.721,0.6747,0.5284,0.6112,0.7412,0.5383
4690,0.639,0.7258,0.6797,0.5468,0.6134,0.7224,0.5458
4695,0.6469,0.7332,0.687,0.5623,0.6137,0.7243,0.5606
4700,0.6596,0.7446,0.6836,0.5834,0.6277,0.7369,0.5817
4705,0.6668,0.7414,0.6766,0.5938,0.6448,0.7496,0.5947
4710,0.6807,0.7467,0.6783,0.6,0.662,0.7758,0.6213
4715,0.6976,0.7756,0.6655,0.6076,0.6904,0.7899,0.6566
4720,0.7046,0.7879,0.6489,0.6288,0.7055,0.7896,0.6668
4725,0.6919,0.794,0.6307,0.6486,0.6895,0.726,0.6628
4730,0.6838,0.7703,0.656,0.6364,0.6792,0.7195,0.6417
4735,0.7075,0.7973,0.6734,0.6634,0.6994,0.7368,0.6746
4740,0.7372,0.8284,0.6939,0.6779,0.7246,0.7932,0.705
4745,0.7402,0.8259,0.7371,0.6725,0.7267,0.7794,0.6994
4750,0.7315,0.8284,0.719,0.6583,0.7147,0.7747,0.6941
4755,0.7357,0.8252,0.72,0.6635,0.7281,0.7826,0.6946
4760,0.7354,0.8208,0.6709,0.6739,0.7405,0.8006,0.7058
4765,0.7378,0.8262,0.6766,0.6801,0.7349,0.8027,0.7059
4770,0.742,0.8313,0.6934,0.6855,0.7277,0.8047,0.7095
4775,0.741,0.8357,0.6868,0.6845,0.7277,0.805,0.7061
4780,0.7431,0.8393,0.6866,0.6883,0.7292,0.8042,0.7106
4785,0.7406,0.8382,0.6889,0.679,0.7212,0.8035,0.7125
4790,0.7392,0.8361,0.694,0.6708,0.7189,0.8056,0.7097
4795,0.737,0.8336,0.6735,0.6827,0.7237,0.7976,0.7106
4800,0.7357,0.829,0.6708,0.6791,0.7243,0.7981,0.7127
4805,0.7412,0.8381,0.6801,0.6829,0.7273,0.8014,0.7175
4810,0.74,0.8376,0.6791,0.6814,0.7245,0.8028,0.7146
4815,0.743,0.8398,0.6888,0.6822,0.7288,0.8003,0.7183
4820,0.7424,0.8424,0.6834,0.6825,0.7272,0.803,0.7156
4825,0.7436,0.8429,0.681,0.685,0.7314,0.8008,0.7207
4830,0.7437,0.8405,0.6834,0.6851,0.7308,0.8045,0.7177
4835,0.7437,0.8387,0.6866,0.6805,0.7341,0.8058,0.7165
4840,0.7432,0.843,0.6798,0.6845,0.7321,0.8002,0.7195
4845,0.7429,0.8412,0.6886,0.6781,0.7334,0.8015,0.7148
4850,0.7422,0.8333,0.6965,0.6783,0.7325,0.7969,0.7158
4855,0.7364,0.8293,0.6946,0.6683,0.7268,0.7896,0.7101
4860,0.7257,0.8369,0.6612,0.65,0.7059,0.8009,0.6992
4865,0.6833,0.8201,0.5908,0.6283,0.6655,0.732,0.6635
4870,0.6924,0.7882,0.6134,0.619,0.6914,0.7552,0.687
4875,0.7224,0.7713,0.6569,0.6594,0.7419,0.8219,0.6833
4880,0.7069,0.7561,0.6298,0.64,0.7259,0.7925,0.697
4885,0.7051,0.7401,0.6445,0.6282,0.733,0.7998,0.6851
4890,0.6971,0.7157,0.6601,0.613,0.7225,0.8092,0.6622
4895,0.7079,0.7513,0.6422,0.6224,0.7479,0.7956,0.6883
4900,0.7098,0.7584,0.6595,0.6241,0.7468,0.7878,0.6821
4905,0.7058,0.7656,0.6489,0.6237,0.7318,0.7764,0.6886
4910,0.703,0.7688,0.6286,0.6221,0.7355,0.7752,0.688
4915,0.7036,0.7667,0.6362,0.6248,0.7304,0.7759,0.6873
4920,0.7024,0.7651,0.6385,0.62,0.7265,0.7813,0.6827
4925,0.7041,0.7633,0.637,0.6176,0.748,0.7789,0.6799
4930,0.7035,0.7488,0.655,0.607,0.762,0.7677,0.6803
4935,0.7128,0.7437,0.7318,0.6258,0.7529,0.7709,0.6519
4940,0.7182,0.754,0.7098,0.6446,0.7652,0.7692,0.6663
4945,0.7208,0.7506,0.7227,0.6395,0.7606,0.7812,0.6702
4950,0.7128,0.7405,0.6741,0.6361,0.7648,0.7895,0.6718
4955,0.7199,0.7384,0.6872,0.6484,0.7688,0.7985,0.6777
4960,0.7344,0.7654,0.7015,0.6621,0.7682,0.8214,0.6877
4965,0.7204,0.745,0.6626,0.6693,0.7724,0.7978,0.6753
4970,0.7028,0.7206,0.6646,0.6359,0.7628,0.7745,0.6585
4975,0.7013,0.7221,0.6856,0.6293,0.7505,0.7738,0.6468
4980,0.6949,0.7155,0.71,0.6078,0.736,0.7618,0.6381
4985,0.6814,0.6956,0.748,0.582,0.6998,0.74,0.6228
4990,0.6695,0.7318,0.6964,0.5617,0.6879,0.7229,0.616
4995,0.6665,0.7687,0.7143,0.5253,0.6591,0.7015,0.6304
5000,0.7064,0.8175,0.7466,0.6026,0.6817,0.7363,0.654
5005,0.6579,0.7781,0.7289,0.5334,0.6455,0.6313,0.6301
5010,0.6483,0.7678,0.7169,0.5479,0.6544,0.6022,0.6004
5015,0.6805,0.803,0.8096,0.5696,0.6592,0.6443,0.5972
5020,0.683,0.8009,0.8049,0.5473,0.671,0.6226,0.6514
5025,0.6202,0.7268,0.7538,0.5244,0.5997,0.5551,0.5613
5030,0.5701,0.6591,0.6298,0.5066,0.5505,0.5399,0.5348
5035,0.6305,0.7242,0.6415,0.6078,0.5956,0.6085,0.6052
5040,0.6871,0.8339,0.6662,0.7341,0.6435,0.596,0.6488
5045,0.5721,0.7231,0.6223,0.5426,0.5376,0.4668,0.5404
5050,0.5833,0.6666,0.6143,0.6282,0.5494,0.4878,0.5536
5055,0.6248,0.7171,0.6871,0.6426,0.566,0.5244,0.6117
5060,0.6251,0.7413,0.6508,0.5856,0.6113,0.543,0.6187
5065,0.6295,0.6761,0.6021,0.6914,0.5908,0.4959,0.7208
5070,0.6258,0.6303,0.5491,0.7596,0.5691,0.5337,0.7133
5075,0.6116,0.6266,0.5557,0.7786,0.5643,0.4623,0.682
5080,0.6575,0.6862,0.612,0.7972,0.6182,0.5041,0.7273
5085,0.6125,0.6098,0.5481,0.6068,0.5894,0.5205,0.8003
5090,0.5913,0.6059,0.5456,0.5485,0.563,0.5294,0.7554
5095,0.5781,0.5895,0.518,0.5855,0.5505,0.4793,0.7454
5100,0.6519,0.6686,0.6127,0.735,0.5882,0.533,0.7737
5105,0.605,0.57,0.5481,0.6239,0.5646,0.5072,0.816
5110,0.6022,0.5332,0.5728,0.6097,0.5845,0.5483,0.7646
5115,0.6071,0.5492,0.5608,0.6386,0.5918,0.5479,0.7542
5120,0.64,0.6223,0.6148,0.7253,0.5696,0.4961,0.812
5125,0.6509,0.6328,0.6227,0.7223,0.5882,0.5109,0.8283
5130,0.6461,0.6312,0.6122,0.7176,0.5829,0.4968,0.836
5135,0.6533,0.6276,0.6141,0.7406,0.5983,0.5111,0.8281
5140,0.6696,0.6377,0.6314,0.7777,0.6256,0.5227,0.8223
5145,0.655,0.6454,0.6173,0.7269,0.6128,0.529,0.7983
5150,0.649,0.6391,0.613,0.7202,0.6051,0.5291,0.7874
5155,0.6548,0.6284,0.64,0.7207,0.6277,0.5314,0.7806
5160,0.6717,0.6195,0.6517,0.7627,0.6581,0.5324,0.8055
5165,0.6847,0.6311,0.6627,0.7526,0.6727,0.5548,0.834
5170,0.6893,0.645,0.6652,0.7501,0.6821,0.5629,0.8308
5175,0.6783,0.6386,0.6378,0.7361,0.685,0.5568,0.8154
5180,0.6896,0.6409,0.6603,0.7522,0.6969,0.5678,0.8193
5185,0.6877,0.652,0.6658,0.7083,0.7075,0.5728,0.82
5190,0.6754,0.6532,0.6389,0.6742,0.7038,0.5762,0.8063
5195,0.6779,0.6431,0.6315,0.6821,0.696,0.5821,0.8327
5200,0.6944,0.6545,0.6595,0.7276,0.7062,0.5346,0.8842
5205,0.7042,0.6709,0.6825,0.7398,0.7154,0.5334,0.8832
5210,0.704,0.6724,0.6881,0.7356,0.7275,0.5171,0.8833
5215,0.7013,0.6647,0.6898,0.7453,0.7219,0.5145,0.8718
5220,0.7086,0.6591,0.7007,0.751,0.7226,0.5341,0.8839
5225,0.6959,0.6354,0.6867,0.7451,0.6943,0.5671,0.8466
5230,0.6684,0.6145,0.6487,0.7207,0.6712,0.5614,0.7943
5235,0.6647,0.6013,0.6436,0.7261,0.668,0.5826,0.7663
5240,0.674,0.6058,0.669,0.754,0.69,0.612,0.7131
5245,0.5809,0.5291,0.6148,0.5554,0.602,0.5923,0.5917
5250,0.5009,0.4617,0.5111,0.4193,0.5788,0.4557,0.5789
5255,0.5258,0.4434,0.4672,0.4907,0.5804,0.4945,0.6786
5260,0.616,0.4836,0.5217,0.592,0.7167,0.7684,0.6137
5265,0.5884,0.4266,0.5367,0.4749,0.7752,0.8059,0.5115
5270,0.568,0.4376,0.5204,0.4797,0.7513,0.7184,0.5006
5275,0.6202,0.4949,0.5693,0.5472,0.7732,0.7429,0.5936
5280,0.682,0.5579,0.6038,0.632,0.8377,0.8333,0.6273
5285,0.6329,0.5266,0.6085,0.556,0.7972,0.6853,0.624
5290,0.6042,0.5558,0.6216,0.5313,0.7406,0.6224,0.5532
5295,0.6164,0.575,0.6138,0.566,0.7504,0.6654,0.528
5300,0.6443,0.5561,0.6021,0.601,0.8109,0.7479,0.5481
5305,0.6463,0.5765,0.6245,0.591,0.7996,0.7433,0.5428
5310,0.6344,0.5558,0.6307,0.5821,0.7924,0.737,0.5086
5315,0.6482,0.5943,0.6361,0.5943,0.7964,0.7381,0.5296
5320,0.6602,0.5931,0.6537,0.6076,0.8288,0.7508,0.5272
5325,0.6452,0.565,0.6663,0.5827,0.8049,0.7501,0.5021
5330,0.6371,0.5827,0.6496,0.5746,0.7611,0.7246,0.53
5335,0.6314,0.5852,0.6446,0.5809,0.7338,0.7082,0.5356
5340,0.6695,0.6264,0.6418,0.6286,0.8119,0.7418,0.5664
5345,0.611,0.6018,0.5882,0.5681,0.694,0.687,0.5272
5350,0.5941,0.5954,0.5787,0.5368,0.6652,0.6636,0.5251
5355,0.6205,0.6442,0.5964,0.5592,0.7011,0.662,0.5599
5360,0.6794,0.8232,0.6522,0.5959,0.7488,0.6798,0.5764
5365,0.6128,0.7429,0.5949,0.5472,0.672,0.5703,0.5497
5370,0.6147,0.7774,0.6408,0.5359,0.6338,0.5805,0.5195
5375,0.6757,0.8521,0.7087,0.6418,0.661,0.6398,0.5508
5380,0.7342,0.876,0.8048,0.7062,0.7289,0.7198,0.5693
5385,0.7154,0.8682,0.766,0.6636,0.7399,0.6763,0.5787
5390,0.707,0.8738,0.7555,0.6538,0.7261,0.6693,0.5633
5395,0.7147,0.8887,0.7592,0.6628,0.7198,0.6954,0.5624
5400,0.7276,0.8942,0.7676,0.6953,0.71,0.7449,0.5538
5405,0.7193,0.905,0.7736,0.683,0.6985,0.7488,0.5067
5410,0.71,0.9045,0.7568,0.6746,0.6837,0.7482,0.492
5415,0.711,0.8886,0.763,0.6802,0.6871,0.7344,0.5128
5420,0.7066,0.8747,0.7342,0.6666,0.693,0.7381,0.5329
5425,0.6701,0.8568,0.6719,0.6432,0.6517,0.7225,0.4747
5430,0.647,0.8312,0.6272,0.6301,0.6255,0.6937,0.4744
5435,0.6352,0.7751,0.6588,0.5708,0.6196,0.6739,0.5129
5440,0.6618,0.8248,0.7263,0.5601,0.6379,0.6598,0.5616
5445,0.5222,0.6605,0.5092,0.4944,0.4594,0.5683,0.4414
5450,0.5381,0.6205,0.4885,0.5476,0.4862,0.5166,0.5696
5455,0.6024,0.634,0.5574,0.6648,0.511,0.5312,0.7158
5460,0.6415,0.6371,0.5267,0.7397,0.5324,0.6059,0.8071
5465,0.5902,0.5905,0.4873,0.7083,0.4444,0.5703,0.7403
5470,0.5594,0.5273,0.4324,0.709,0.4013,0.5296,0.757
5475,0.6107,0.5808,0.4852,0.8028,0.5067,0.5207,0.7681
5480,0.6518,0.6306,0.525,0.8434,0.6129,0.5448,0.7538
5485,0.5434,0.5147,0.4369,0.664,0.5197,0.4886,0.6366
5490,0.5285,0.5146,0.4202,0.5981,0.5272,0.4481,0.6631
5495,0.5473,0.5317,0.4284,0.6263,0.5258,0.485,0.6867
5500,0.6428,0.6393,0.5029,0.7286,0.6238,0.5847,0.7773
5505,0.5994,0.5488,0.4459,0.6522,0.6668,0.585,0.6974
5510,0.5775,0.5269,0.4373,0.6188,0.7119,0.5604,0.6094
5515,0.5944,0.5408,0.4568,0.638,0.6985,0.6276,0.6046
5520,0.6671,0.6224,0.5406,0.676,0.7889,0.7278,0.6469
5525,0.6416,0.5808,0.5229,0.6547,0.7517,0.7518,0.5879
5530,0.6412,0.5805,0.5619,0.6617,0.7221,0.7611,0.5596
5535,0.6609,0.6152,0.6024,0.706,0.6883,0.7739,0.5797
5540,0.6918,0.6535,0.6066,0.7422,0.7068,0.8144,0.6271
5545,0.6999,0.6546,0.6159,0.7454,0.7679,0.8103,0.6055
5550,0.6979,0.6628,0.6138,0.7437,0.7559,0.7998,0.6117
5555,0.7042,0.6674,0.6367,0.756,0.7691,0.7771,0.619
5560,0.6928,0.6524,0.61,0.7712,0.7369,0.7635,0.6226
5565,0.6801,0.6389,0.5934,0.7257,0.7442,0.7538,0.6247
5570,0.7028,0.6681,0.6073,0.7501,0.7926,0.7622,0.6365
5575,0.7083,0.6643,0.5785,0.765,0.8304,0.7602,0.6511
5580,0.7218,0.6831,0.5671,0.757,0.8472,0.7945,0.6818
5585,0.7075,0.673,0.5375,0.7516,0.7921,0.7939,0.6968
5590,0.6964,0.6534,0.5332,0.7386,0.7823,0.783,0.6882
5595,0.6898,0.6487,0.5256,0.7308,0.7718,0.7724,0.6893
5600,0.725,0.6778,0.5627,0.7695,0.839,0.788,0.7129
5605,0.7134,0.6552,0.5894,0.7608,0.8242,0.7488,0.7021
5610,0.69,0.652,0.522,0.734,0.7845,0.746,0.7011
5615,0.6985,0.6549,0.5145,0.7379,0.8109,0.7573,0.7153
5620,0.722,0.6709,0.5601,0.7453,0.8853,0.7586,0.7116
5625,0.6828,0.6352,0.5729,0.6965,0.8084,0.7448,0.6393
5630,0.6468,0.6211,0.5507,0.6601,0.7414,0.6998,0.6074
5635,0.6638,0.6087,0.5837,0.692,0.7696,0.6982,0.6309
5640,0.6983,0.6331,0.6204,0.7084,0.7978,0.764,0.6663
5645,0.6441,0.5963,0.6074,0.65,0.7376,0.6881,0.5854
5650,0.6176,0.5781,0.5571,0.5909,0.7175,0.6837,0.5782
5655,0.6278,0.5887,0.5405,0.5731,0.7365,0.7117,0.6163
5660,0.6666,0.6331,0.5704,0.5879,0.7839,0.7414,0.6829
5665,0.5764,0.5987,0.5684,0.4827,0.6176,0.6114,0.5797
5670,0.5752,0.6027,0.588,0.5046,0.5861,0.6074,0.5622
5675,0.6263,0.7021,0.5685,0.5453,0.6311,0.6967,0.6143
5680,0.7073,0.7867,0.5595,0.6534,0.7504,0.7697,0.7244
5685,0.7075,0.7698,0.5925,0.6548,0.7467,0.7768,0.7043
5690,0.7115,0.7666,0.6035,0.6512,0.7539,0.7819,0.7119
5695,0.7046,0.7549,0.6035,0.6436,0.7459,0.7681,0.7115
5700,0.7051,0.7568,0.6123,0.6406,0.7418,0.7688,0.7101
5705,0.7099,0.7794,0.598,0.6436,0.7511,0.7752,0.7121
5710,0.7133,0.7811,0.6089,0.6425,0.7491,0.7835,0.7149
5715,0.7134,0.7818,0.5975,0.6403,0.7597,0.786,0.7153
5720,0.712,0.78,0.6062,0.6403,0.7586,0.7749,0.7119
5725,0.7119,0.7803,0.6228,0.6436,0.7341,0.7855,0.7048
5730,0.7122,0.7876,0.6234,0.6448,0.726,0.7833,0.7083
5735,0.7185,0.7955,0.636,0.6454,0.7395,0.7793,0.7155
5740,0.7231,0.7993,0.6237,0.6524,0.7608,0.784,0.7182
5745,0.7317,0.8092,0.6497,0.6524,0.7638,0.7922,0.7228
5750,0.7299,0.8094,0.6513,0.656,0.7515,0.79,0.7213
5755,0.7337,0.8169,0.6555,0.6598,0.7622,0.7825,0.7253
5760,0.7284,0.7966,0.6381,0.6631,0.7693,0.7784,0.7249
5765,0.7279,0.7999,0.6406,0.6604,0.7624,0.7787,0.7251
5770,0.7268,0.8069,0.6481,0.6579,0.7563,0.7748,0.7171
5775,0.7266,0.8041,0.656,0.6572,0.7581,0.7719,0.712
5780,0.73,0.8036,0.6619,0.6682,0.7538,0.7673,0.7249
5785,0.702,0.751,0.6741,0.6345,0.7093,0.7545,0.6888
5790,0.6998,0.7602,0.6616,0.6446,0.7052,0.7523,0.6751
5795,0.7021,0.7698,0.6693,0.6139,0.7032,0.7845,0.672
5800,0.7145,0.7812,0.6837,0.6188,0.7326,0.7819,0.6887
5805,0.6858,0.7071,0.6743,0.614,0.725,0.7213,0.673
5810,0.654,0.6975,0.687,0.553,0.6532,0.6733,0.6599
5815,0.6547,0.7134,0.7197,0.5233,0.6552,0.6692,0.6472
5820,0.7097,0.8249,0.7943,0.5706,0.7116,0.6893,0.6674
5825,0.6806,0.7364,0.8505,0.5338,0.6823,0.6202,0.6603
5830,0.6119,0.6631,0.7698,0.4502,0.6315,0.5422,0.6148
5835,0.5874,0.6824,0.6981,0.4515,0.5816,0.5582,0.5527
5840,0.617,0.8061,0.6418,0.5272,0.567,0.5697,0.59
5845,0.5301,0.6975,0.5861,0.5304,0.4663,0.4217,0.4788
5850,0.5017,0.6245,0.4868,0.602,0.4219,0.4047,0.47
5855,0.5545,0.6564,0.5258,0.6506,0.4809,0.4631,0.5501
5860,0.6461,0.7867,0.7073,0.5925,0.6038,0.5701,0.6161
5865,0.6049,0.7101,0.6395,0.5827,0.5523,0.5356,0.609
5870,0.584,0.6398,0.5858,0.6461,0.5218,0.5092,0.6012
5875,0.5851,0.6506,0.5795,0.6612,0.5201,0.5184,0.5806
5880,0.6201,0.7672,0.6214,0.619,0.5844,0.5482,0.5804
5885,0.5725,0.6789,0.5368,0.595,0.5225,0.5289,0.5727
5890,0.508,0.552,0.5006,0.5023,0.4536,0.4672,0.5723
5895,0.4541,0.451,0.4593,0.4224,0.4448,0.3936,0.5535
5900,0.7179,0.8173,0.6649,0.7102,0.684,0.6458,0.785
5905,0.7098,0.8106,0.6572,0.7056,0.6706,0.6421,0.7728
5910,0.7256,0.8122,0.6665,0.7289,0.6904,0.6565,0.7989
5915,0.7281,0.8141,0.6788,0.7373,0.6936,0.6599,0.7847
5920,0.735,0.8236,0.685,0.7437,0.6958,0.6626,0.7995
5925,0.7028,0.7971,0.6943,0.6799,0.6489,0.613,0.7833
5930,0.6934,0.8137,0.657,0.6417,0.6706,0.6068,0.7706
5935,0.7102,0.8452,0.6277,0.7063,0.6685,0.6545,0.759
5940,0.7263,0.8316,0.6794,0.7354,0.6805,0.6481,0.7825
5945,0.7157,0.8089,0.6862,0.7355,0.6725,0.6237,0.7672
5950,0.6882,0.7645,0.667,0.7238,0.6379,0.6058,0.7302
5955,0.679,0.7711,0.6423,0.7428,0.6221,0.5995,0.6961
5960,0.6719,0.7877,0.6487,0.7511,0.5995,0.5772,0.6673
5965,0.6661,0.8031,0.6348,0.7447,0.5755,0.5668,0.6714
5970,0.6611,0.7939,0.6341,0.7461,0.5673,0.5613,0.6639
5975,0.6557,0.7796,0.6238,0.747,0.5613,0.5611,0.6614
5980,0.6516,0.7726,0.6223,0.7441,0.5572,0.5516,0.6618
5985,0.6525,0.776,0.6267,0.7447,0.5539,0.5514,0.6622
5990,0.6561,0.7786,0.6237,0.7547,0.5596,0.5538,0.6663
5995,0.6563,0.7777,0.6258,0.7547,0.5593,0.5543,0.6658
6000,0.6558,0.7754,0.619,0.7581,0.5611,0.5572,0.6641
6005,0.6561,0.7754,0.6196,0.7575,0.5607,0.5562,0.6671
6010,0.656,0.7758,0.6178,0.7556,0.5636,0.5583,0.6646
6015,0.6562,0.7729,0.6197,0.754,0.5632,0.5628,0.6647
6020,0.6601,0.7782,0.625,0.7585,0.5648,0.5636,0.6708
6025,0.6594,0.7779,0.6217,0.7562,0.5669,0.5669,0.667
6030,0.6603,0.7784,0.6185,0.7585,0.5706,0.5665,0.669
6035,0.6596,0.7778,0.6159,0.7584,0.5715,0.564,0.6703
6040,0.6611,0.7766,0.6225,0.7625,0.5732,0.5625,0.6697
6045,0.6594,0.7774,0.6215,0.7563,0.5711,0.5618,0.6682
6050,0.6567,0.7754,0.6137,0.7544,0.567,0.5625,0.6673
6055,0.6585,0.7759,0.6226,0.7557,0.5671,0.563,0.6667
6060,0.6591,0.7751,0.6208,0.76,0.5681,0.5651,0.6656
6065,0.659,0.7757,0.623,0.7571,0.5678,0.5662,0.6646
6070,0.6613,0.7794,0.628,0.759,0.5658,0.5685,0.6673
6075,0.6602,0.7754,0.6264,0.7582,0.5678,0.5692,0.6644
6080,0.6606,0.7757,0.6258,0.7587,0.5658,0.5685,0.6688
6085,0.6541,0.7681,0.6264,0.7419,0.5661,0.5557,0.6665
6090,0.6531,0.7633,0.6278,0.7386,0.5639,0.5552,0.6697
6095,0.6616,0.7689,0.6273,0.7543,0.5739,0.5655,0.6795
6100,0.6754,0.7772,0.6363,0.7747,0.5885,0.5866,0.689
6105,0.6736,0.7789,0.6425,0.7683,0.5852,0.5806,0.6858
6110,0.6701,0.7779,0.6397,0.7621,0.58,0.5773,0.6836
6115,0.6678,0.7763,0.635,0.7618,0.577,0.5774,0.6792
