frame,mean_iou,iou_v0,iou_v1,iou_v2,iou_v3,iou_v4,iou_v5
430,0.7035,0.6464,0.6222,0.7111,0.7256,0.757,0.7588
435,0.7053,0.6588,0.6151,0.7398,0.6931,0.7753,0.7496
440,0.7066,0.6607,0.6176,0.7418,0.6995,0.7592,0.7607
445,0.6706,0.614,0.595,0.7051,0.6928,0.7017,0.7152
450,0.6791,0.6089,0.6099,0.7034,0.7298,0.7306,0.6919
455,0.6854,0.6062,0.6045,0.6992,0.743,0.7733,0.686
460,0.6993,0.6296,0.6272,0.705,0.7356,0.8188,0.6796
465,0.6869,0.6163,0.6138,0.7068,0.7469,0.7877,0.65
470,0.6673,0.5649,0.5925,0.6966,0.7511,0.7729,0.6255
475,0.681,0.5714,0.5867,0.6837,0.7962,0.8248,0.6232
480,0.6745,0.5633,0.5798,0.6773,0.7716,0.8405,0.6146
485,0.5869,0.4366,0.5129,0.5411,0.7482,0.7382,0.5444
490,0.57,0.4272,0.5136,0.5295,0.7214,0.6985,0.5295
495,0.5748,0.4491,0.5364,0.5333,0.7258,0.674,0.5301
500,0.6576,0.5706,0.6246,0.6226,0.8446,0.6857,0.5974
505,0.6435,0.5576,0.6433,0.6,0.7868,0.6988,0.5746
510,0.6458,0.5656,0.6554,0.5906,0.8007,0.6943,0.5685
515,0.6823,0.6541,0.6651,0.6452,0.829,0.7132,0.5871
520,0.6978,0.6374,0.6822,0.6756,0.8549,0.7345,0.602
525,0.6625,0.5709,0.6554,0.6344,0.8161,0.7552,0.543
530,0.6555,0.6335,0.6139,0.631,0.782,0.7422,0.5301
535,0.69,0.7827,0.6307,0.6544,0.7665,0.7481,0.5578
540,0.6907,0.8239,0.6679,0.6404,0.7179,0.762,0.5322
545,0.6519,0.8225,0.5948,0.5895,0.6741,0.7039,0.5268
550,0.6477,0.8588,0.6008,0.6062,0.6534,0.7155,0.4512
555,0.6416,0.802,0.613,0.5805,0.6661,0.7007,0.4873
560,0.676,0.8611,0.6514,0.6293,0.6563,0.7423,0.5157
565,0.6025,0.7627,0.6174,0.5909,0.5455,0.6527,0.4458
570,0.5802,0.7,0.5988,0.59,0.5166,0.6172,0.4589
575,0.6221,0.7482,0.6463,0.6468,0.5647,0.6393,0.4875
580,0.6851,0.8014,0.7464,0.6764,0.6409,0.6895,0.5559
585,0.6628,0.8058,0.7126,0.6651,0.6165,0.6646,0.5123
590,0.6331,0.7417,0.6887,0.6486,0.5982,0.5989,0.5226
595,0.6605,0.7619,0.7125,0.6812,0.61,0.6403,0.5568
600,0.6754,0.7776,0.7213,0.6952,0.6011,0.6641,0.593
605,0.6676,0.7768,0.7303,0.6995,0.5736,0.6714,0.5537
