frame,d_iou_belly,d_iou_global,post_iou_belly,post_iou_global,pre_iou_belly,pre_iou_global
10830,0.6118,0.0264,0.8761,0.5232,0.2643,0.4969
10845,0.5475,-0.0009,0.8264,0.5083,0.2789,0.5092
10865,0.6176,0.0114,0.8168,0.5309,0.1992,0.5194
11930,,0.0063,,0.705,,0.6987
12085,,0.0604,,0.6981,,0.6377
12090,,0.1215,,0.7262,,0.6047
12095,,0.0808,,0.7333,,0.6524
12100,0.3703,0.0187,0.7598,0.7386,0.3896,0.7199
12105,,0.0387,,0.7253,,0.6865
12110,,0.072,,0.7158,,0.6438
13310,0.2781,0.0415,0.6929,0.6615,0.4148,0.6201
13315,,0.0188,,0.6826,,0.6638
14475,0.3887,0.0702,0.7963,0.7435,0.4076,0.6733
14595,,0.0321,,0.8133,,0.7812
14750,0.5974,0.0499,0.9854,0.7317,0.388,0.6817
14805,0.6558,0.0537,1.0,0.7194,0.3442,0.6657
14810,-0.0825,0.0445,0.2997,0.6873,0.3822,0.6429
14815,-0.0661,0.0403,0.3125,0.7033,0.3786,0.663
14820,0.0346,0.0123,0.3992,0.7048,0.3647,0.6925
14825,0.5263,0.0615,0.9006,0.7117,0.3743,0.6503
15665,0.4033,0.0367,0.7098,0.6716,0.3065,0.6349
15670,0.4776,0.0457,0.717,0.6468,0.2394,0.6011
15675,0.4208,0.0342,0.7733,0.6601,0.3525,0.6259
15990,,0.0785,,0.6966,,0.618
15995,,0.0467,,0.6974,,0.6507
16000,,0.0052,,0.692,,0.6868
16005,,0.0303,,0.6866,,0.6563
17445,0.4614,0.0692,0.7874,0.661,0.326,0.5918
17645,0.4046,0.0142,0.678,0.6756,0.2734,0.6614
17650,0.7099,0.0282,0.8766,0.6948,0.1667,0.6665
17670,,0.065,,0.709,,0.644
17675,,0.045,,0.6875,,0.6425
17685,0.8183,0.1996,0.9851,0.6868,0.1668,0.4872
17745,0.4826,0.051,0.6979,0.6872,0.2152,0.6363
17750,0.5713,0.0941,0.7153,0.6747,0.144,0.5806
17755,0.6912,0.0576,0.7256,0.6328,0.0345,0.5751
17765,,0.0556,,0.6802,,0.6246
17770,,0.0379,,0.6479,,0.61
17775,,0.0202,,0.6208,,0.6006
