frame,delta
5065,-0.0409
305,-0.0406
8425,-0.0405
15910,-0.0394
730,-0.0392
3345,-0.0391
9875,-0.039
780,-0.0385
9610,-0.0382
3350,-0.0372
6090,-0.0359
4180,-0.0334
2460,-0.0332
9245,-0.0322
17595,-0.0311
13305,-0.0303
13170,-0.0302
1570,-0.03
135,-0.0286
9210,-0.0282
6300,-0.0277
16740,-0.0276
17600,-0.0276
2445,-0.0264
8125,-0.0256
14930,-0.0254
2145,-0.0249
15915,-0.0244
7585,-0.0241
9215,-0.0239
3355,-0.0229
2325,-0.0227
10695,-0.0227
10690,-0.0224
320,-0.0214
13455,-0.0212
9240,-0.0209
11390,-0.0207
2925,-0.0205
14670,-0.0198
215,-0.0195
5605,-0.019
17740,-0.019
2150,-0.0182
9525,-0.0177
10795,-0.0167
17615,-0.0163
6710,-0.0156
1245,-0.0154
17495,-0.0154
9295,-0.0152
9220,-0.0147
10910,-0.0146
5160,-0.0145
16825,-0.0141
16735,-0.0139
8385,-0.0138
15785,-0.0137
13450,-0.0132
8105,-0.0124
9225,-0.0122
6930,-0.0115
1565,-0.0112
9280,-0.0112
8115,-0.011
7300,-0.0109
3375,-0.0103
16540,-0.0094
9230,-0.0087
8130,-0.0085
9235,-0.0076
17470,-0.0072
13300,-0.0064
14465,-0.0059
1595,-0.0055
6740,-0.0052
8305,-0.0051
11385,-0.0049
14845,-0.0042
5545,-0.0034
9260,-0.0033
15780,-0.0026
13445,-0.0015
9270,-0.0013
10990,-0.0004
15740,0.0
1590,0.0004
16545,0.0007
4200,0.0008
5060,0.0009
9655,0.001
14850,0.0012
13860,0.0013
9265,0.0017
6305,0.0025
9275,0.0029
6095,0.0046
12765,0.0046
15680,0.0048
9250,0.0052
750,0.0053
16570,0.0056
15745,0.0062
13865,0.0064
9255,0.0065
16550,0.0065
165,0.0067
720,0.0067
6085,0.0068
6660,0.0077
16085,0.008
7260,0.0092
2850,0.0094
12655,0.0098
5560,0.0099
16555,0.0122
16565,0.0136
7590,0.0147
15770,0.0148
9410,0.015
200,0.0162
16095,0.0166
13155,0.0167
16535,0.017
9605,0.0183
6665,0.0186
6295,0.019
14855,0.0195
16730,0.0195
9290,0.0199
8110,0.0212
10750,0.0217
13440,0.0217
12835,0.0226
2380,0.0229
675,0.0246
6215,0.025
9420,0.025
7595,0.0251
10935,0.0251
5960,0.0252
15855,0.0252
6505,0.0253
16805,0.0253
12865,0.0254
13870,0.0258
16575,0.0259
4455,0.0263
12770,0.0266
1865,0.0275
680,0.0278
8120,0.0282
2450,0.0288
7175,0.0293
2900,0.0296
5885,0.0297
6285,0.0298
10995,0.0301
13855,0.0301
8225,0.0313
14490,0.0326
9345,0.0327
4440,0.0331
6290,0.0331
14925,0.0333
17460,0.0333
16530,0.0336
14495,0.0339
7510,0.034
5965,0.0354
9810,0.0357
10915,0.0362
13875,0.0385
1135,0.0396
15650,0.0396
5550,0.0399
14500,0.0399
9080,0.04
6160,0.0402
2605,0.0408
5555,0.0415
15055,0.0416
800,0.0423
1405,0.0426
2355,0.0427
13200,0.043
2155,0.0433
13130,0.0435
6315,0.044
10890,0.0449
2845,0.045
6155,0.0457
14120,0.0462
14260,0.0463
15790,0.0465
8230,0.0475
16820,0.0477
9555,0.048
6150,0.0488
6145,0.0489
13135,0.049
15860,0.0492
13435,0.0496
14515,0.0496
9835,0.0497
13195,0.0497
13285,0.0501
15695,0.0502
995,0.0504
13205,0.051
6110,0.0512
6540,0.0514
6140,0.0518
5080,0.0521
13430,0.053
8245,0.0536
16810,0.0537
14125,0.0541
13480,0.0544
9305,0.0545
770,0.0555
14115,0.0555
8235,0.0556
6310,0.0559
9455,0.0559
15760,0.056
12790,0.0562
2340,0.0563
3340,0.0566
110,0.0567
13140,0.0568
13145,0.0569
11340,0.0573
690,0.0579
6115,0.058
990,0.0584
4185,0.0588
1860,0.0591
16830,0.0591
6105,0.0594
2870,0.0601
13460,0.0601
6530,0.0604
13150,0.0606
6635,0.061
13180,0.0615
13240,0.0617
8190,0.0619
6135,0.0621
13190,0.0621
11315,0.0624
11870,0.0628
4170,0.0631
9125,0.0631
6125,0.0635
6500,0.0635
6130,0.0636
13810,0.0637
13850,0.0638
8240,0.0639
13185,0.0641
16815,0.0641
13885,0.0648
5100,0.065
13815,0.065
7200,0.0658
13425,0.0659
9405,0.066
6100,0.0666
13880,0.0678
10875,0.0679
6120,0.068
125,0.0684
14250,0.0685
13835,0.0687
7150,0.0702
12795,0.0707
12635,0.0708
1165,0.0711
13215,0.0719
13820,0.0726
6535,0.0729
480,0.0732
1250,0.0732
17480,0.0735
7515,0.0736
13245,0.0736
13895,0.0736
15895,0.0737
13830,0.0743
2880,0.0744
4160,0.0744
14135,0.0745
5525,0.0748
14110,0.075
695,0.0752
7620,0.0753
685,0.0755
12860,0.0755
2895,0.0757
14780,0.0758
6210,0.0763
9335,0.0763
7610,0.0764
9330,0.0765
10670,0.0765
9860,0.0768
13475,0.0769
9285,0.0772
12630,0.0777
4165,0.0779
9115,0.078
13175,0.078
2250,0.0782
